"trt.name","intended.mu","intended.k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"mu2k1",16.32,0.31,"c",NA,NA,2,NA,NA,NA,166.09,17,1,2,11,16,9,0,3,2,0,18,5,82.4,4,51.55,20,53.27,0,0,0,68.81,104.2,0,0,19,6,45.48,0,32.53,0,4,0,0,0,0,7,12,0,0,0,14,59.04,36.21,0,0,5,2,1,15,3,10,13,3,40.47,1,8,1,1,6,4
"mu2.5k1",20.4,0.31,"c",NA,NA,2,NA,NA,NA,207.26,20,2,2,14,19,12,0,4,2,0,29.99,7,102.85,5,56.8,36.62,64.35,0,0,0,85.89,130.05,0,0,33.15,8,50.51,0,36.75,0,5,0,0,0,0,10,15,0,0,0,17,73.73,40.65,0,1,6,3,1,18,3,13,16,4,45.21,1,11,1,1,9,5
"mu3k1",24.48,0.31,"a",2,NA,NA,NA,248.44,32.62,2,2,15,20,13,0,5,3,0,35.98,8,123.29,5,68.09,43.94,77.15,0,0,0,102.97,155.9,0,0,39.72,9,60.59,0,48.72,0,6,0,0,0,0,11,16,0,0,0,18,88.39,54.22,1,1,7,3,1,19,4,14,17,4,58.53,1,12,1,2,10,5.5,NA,NA
"mu0.1k2",0.82,0.61,"b",NA,2,NA,NA,NA,6.95,1,0,0,1,1,1,0,0,0,0,1,0,4,0,2,2,3,0,0,0,3,5,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,NA
"mu0.2k2",1.63,0.61,"a",2,NA,NA,NA,12.57,2,0,0,2,2,1,0,1,0,0,3,1,7,1,4.34,3,5,0,0,0,6,8,0,0,3,1,4,0,3,0,1,0,0,0,0,1,2,0,0,0,2,5,4,0,0,1,0,0,2,0,1,2,1,4,0,1,0,0,1,1,NA,NA
"mu0.4k2",3.26,0.61,"a",2,NA,NA,NA,23.54,5,1,1,3,4,3,0,1,1,0,5,2,13,2,9,6,10,0,0,0,12,13.27,0,0,5,2,8,0,6,0,2,0,0,0,0,2,3,0,0,0,4,11,7,0,0,2,1,0,4,1,3,4,1,7,1,3,1,1,2,2,NA,NA
"mu0.6k2",4.9,0.61,"c",NA,NA,2,NA,NA,NA,69.71,6,1,1,4,6,4,0,2,1,0,7,3,15,2,11,8,12,0,0,0,14,16,0,0,7,3,10,0,8,0,2,0,0,0,0,3,5,0,0,0,5,13,9,1,1,3,2,1,6,2,4,5,2,9,1,4,1,1,3,2
"mu0.8k2",6.53,0.61,"b",NA,2,NA,NA,NA,45.45,9,2,2,6,9,6,0,3,2,0,10,4,31.21,3,16,11,17,0,0,0,19,33.16,0,0,10,4,15,0,12,0,4,0,0,0,0,5,7,0.8,1,1,8,18,13,1,1,4,2,1,8,3,6,7,3,14,1,5,1,2,5,3.5,NA
"mu1k2",8.16,0.61,"b",NA,2,NA,NA,NA,56.39,11,2,2,8,10,7,0,4,3,0,12,5,38.74,4,19,14,20,0,0,0,32.26,44.13,0,0,13,5,18,0,15,0,4,0,0,0,1,6,8,1,1,1,9,21,16,1,1,5,3,1,10,3,7,9,3,17,2,6,2,2,6,4,NA
"mu1.5k2",12.24,0.61,"b",NA,2,NA,NA,NA,83.74,18,4,4,12,17,10,0,6,4,0,19,8,47.98,6,26,21,37.3,0,0,0,41.81,57.58,0,0,20,8,25,0,22,0,7,0.98,1,1,1,9,13,1,1,2,15,39.91,23,2,2,7,5,2,16,5,11,14,5,24,3,10,3,3,9,6.5,NA
"mu2k2",16.32,0.61,"a",2,NA,NA,NA,111.08,21,4,5,15,20,13,0,7,5,0,22,9,76.42,8,44.81,24,49.52,0,0,0,63.67,103.03,0,0,23,10,28,0,25,1,8,1,1,1,1,11,16,2,2,2,18,55.52,26,2,3,9,6,3,19,6,14,17,7,27,3,12,4,4,10,8,NA,NA
"mu2.5k2",20.4,0.61,"b",NA,2,NA,NA,NA,138.42,26,6,7,20,25,18,0,9,7,0,27,13,79.38,10,55.87,29,61.77,0,0,0,69.21,95.25,0,0,28,14,51.03,1,30,1,11,1,1,2,2,16,21,2,3,3,23,65.54,43.4,3,4,12,8,4,24,8,19,22,9,46.94,5,17,5,6,15,10.5,NA
"mu3k2",24.48,0.61,"c",NA,NA,2,NA,NA,NA,165.76,29,7,8,23,28,21,0,12,8,0,30,16,95.08,13,66.95,44.93,71.16,0,0,0,82.91,114.08,0,1,31,17,61.17,1,48.3,1,14,1,2,2,2,19,24,3,3,4,26,73.99,52,4,5,15,9,5,27,10,22,25,11,56.23,6,20,6,7,18,13.5
