,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
45,4.0,10.0,0.0,2.0,4.0,2.0,0.0,1.6,3.6,33.2,15.0,0.0,6.8,0.0,0.0,6.3,0.0
46,0.0,3.0,16.0,0.0,7.0,7.0,0.0,0.0,7.0,12.0,15.0,3.5,17.0,32.0,1.0,23.0,0.0
47,9.0,16.0,0.0,0.0,1.0,0.0,0.0,9.0,6.2,15.0,17.2,7.5,19.0,6.0,0.0,10.0,0.0
48,5.0,0.0,0.0,0.0,8.0,2.0,17.0,51.7,9.3,0.0,10.0,10.0,12.0,0.0,7.0,3.0,34.0
49,13.0,0.0,0.0,1.0,20.0,3.0,27.0,4.0,32.0,0.0,8.0,0.0,19.0,6.3,0.0,17.0,8.0
50,7.0,0.0,0.0,8.0,19.0,22.0,4.0,0.0,14.0,0.0,2.0,20.0,18.0,2.0,16.0,9.4,1.0
51,0.0,2.0,0.0,0.0,12.0,1.0,7.0,14.0,3.5,19.0,3.0,22.0,12.0,0.0,0.0,20.0,2.5
52,9.0,0.0,0.0,5.0,17.0,8.0,11.0,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0.0,4.5,0.0
53,0.0,21.0,7.0,0.0,6.0,3.0,5.0,2.8,0.0,2.0,0.0,10.0,4.0,7.0,0.0,0.0,0.0
54,0.0,8.0,6.0,0.0,7.0,4.0,4.0,0.0,3.4,1.0,0.0,12.0,44.4,2.0,2.0,10.0,2.0
55,32.0,12.0,15.0,0.0,1.0,1.0,54.0,26.0,30.0,0.0,1.0,22.0,12.0,0.0,2.5,1.0,0.0
56,9.0,3.0,34.0,0.0,0.0,10.0,0.0,19.0,13.2,2.5,5.2,9.2,44.0,2.0,35.0,28.0,2.0
57,13.0,11.0,36.0,0.0,3.0,9.0,0.0,0.0,0.0,1.5,0.0,27.5,24.0,0.0,5.0,1.5,0.0
58,16.0,5.0,6.0,0.0,4.0,0.0,29.0,4.0,10.2,0.0,22.0,29.0,12.0,2.0,0.0,0.0,1.0
59,20.0,0.0,62.0,3.0,13.0,0.0,4.0,5.5,17.3,0.0,18.0,15.0,4.5,13.0,7.0,7.0,0.0
60,4.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,25.0,0.0,22.0,3.0,6.0,9.0,0.0,0.0
61,10.0,0.0,0.0,6.0,7,2.0,8.0,4.0,7.0,9.0,1.0,18.0,9.0,0.0,18.5,0.0,0.0
