"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu2k1",6.02,0.1,"a","0","sample","120.04","0","0","0","0","0","0","0","0","10.66","0","0","0","0","0","1","0","30.51","0","0","18","0","0","0","0","0","0","0","60.55","4","0","0","0","0","5","0","0","41.48","0","0","6","0","2","7","23.21","0","8","0","0","2","0","0","14.17","3","0","0","0","1","1","1","0","sample",NA,"insects",NA,NA
"mu2.5k1",7.52,0.1,"b",NA,"0","sample","149.83","0","0","0","0","0","0","0","0","13.98","0","0","0","0","0","2","0","38.08","0","0","22.48","0","0","0","0","0","0","0","75.58","5","0","0","0","0","6","0","0","51.78","0","0","7","0","2","8","28.99","0","10.15","0","0","3","0","0","17.67","4","0","0","1","1","1","1","0","sample",NA,"insects",NA
"mu3k1",9.02,0.1,"a","0","sample","179.62","0","0","0","0","0","0","0","0","20.84","0","0","0","0","0","2","0","45.66","0","0","26.96","0","0","0","0","0","0","0","90.61","5","0","0","0","0","6","0","0","62.08","0","0","7","0","2","8","34.75","0","16.75","0","0","3","0","0","21.18","4","0","0","1","1","1","1","0","sample",NA,"insects",NA,NA
"mu0.1k2",0.3,0.19,"c",NA,NA,"0","sample","5.05","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.2k2",0.6,0.19,"a","0","sample","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","4","1","0","0","0","0","1","0","0","3","0","0","1","0","0","1","2","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu0.4k2",1.2,0.19,"c",NA,NA,"0","sample","25.2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","5","0","0","4","0","0","0","0","0","0","0","7","1","0","0","0","0","2","0","0","6","0","0","2","0","1","2","4","0","2","0","0","1","0","0","3","1","0","0","0","0","1","1","0","sample",NA,"insects"
"mu0.6k2",1.8,0.19,"a","0","sample","25.08","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","8","0","0","6","0","0","0","0","0","0","0","19.21","2","0","0","0","0","2","0","0","9","0","0","3","0","1","3","7","0","4","0","0","2","0","0","5","2","0","1","1","1","1","1","0","sample",NA,"insects",NA,NA
"mu0.8k2",2.41,0.19,"c",NA,NA,"0","sample","33.06","0","0","0","0","0","0","0","0","6","0","0","0","0","0","2","0","10","0","0","8","0","0","0","0","0","0","0","19.23","3","0","0","0","0","3","0","0","18.1","0","0","4","0","2","4","9","0","5","0","0","2","0","1","7","2","1","1","1","1","1","1","0","sample",NA,"insects"
"mu1k2",3.01,0.19,"b",NA,"0","sample","41.04","0","0","0","0","0","0","0","0","8","0","0","0","0","0","2","0","13.58","0","0","10","0","0","0","0","0","0","0","23.87","4","0","0","0","0","4","0","0","18","0","0","5","0","2","6","11","0","7","0","0","3","1","1","9","3","1","1","1","1","2","2","0","sample",NA,"insects",NA
"mu1.5k2",4.51,0.19,"c",NA,NA,"0","sample","60.97","0","0","0","0","0","0","0","0","11","0","0","0","0","0","3","0","21.55","0","0","12.45","0","0","0","0","0","0","0","35.48","6","0","0","0","0","7","0","0","26.8","0","0","8","0","4","9","17.8","1","10","1","1","4","1","1","12","5","1","1.69","2","2","2","3","0","sample",NA,"insects"
"mu2k2",6.02,0.19,"c",NA,NA,"0","sample","80.91","0","0","0","0","0","0","0","0","13","0","0","0","0","0","4","0","28.57","0","0","19.96","0","0","0","0","0","0","0","47.1","8","0","0","0","0","9","0","0","35.59","0","0","10","1","5","11","23.68","1","12","1","1","6","1","1","18.18","7","2","2","2","3","3","4","0","sample",NA,"insects"
"mu2.5k2",7.52,0.19,"a","0","sample","100.84","0","0","0","0","0","0","0","0","14","0","0","0","0","0","5","0","35.63","0","0","29.5","0","0","0","0","0","0","0","58.71","9","0","0","0","0","10","0","0","44.38","1","1","11","1","6","12","31.86","1","13","1","1","7","2","2","24.89","8","2","3","3","4","4","4.42","1","sample",NA,"insects",NA,NA
"mu3k2",9.02,0.19,"c",NA,NA,"0","sample","120.77","0","0","0","0","0","0","0","0","21.91","0","0","0","0","0","7","0","42.7","0","0","29.84","0","0","0","0","0","0","0","70.32","11","0","0","0","0","12","0","1","53.15","1","1","13","1","8","14","35.36","1","20.87","1.11","2","9","2","2","25.46","10","3","3","4","4","5","6","1","sample",NA,"insects"
