ppt
12.1
3.5
11.9
5.9
8.3
5.2
25.6
15.6
18.2
31.7
7.2
1
4.1
0.1
8.7
0.1
2.2
0
0.2
7.7
2.6
5.3
14.2
8.7
0
5.5
15.4
0
28.8
61.1
5.1
6.4
0.7
7.4
16.3
17.1
3.8
8.5
10.4
3.9
0.4
5.7
8.3
1.1
0.2
29.1
0
17.5
4.5
8.5
12.4
0
0
0.3
0
0
0
3.9
35.1
21.5
16.8
10.7
21.1
19.3
17.6
21
0.2
12.8
10
24.3
22.2
5.5
21.7
20
13.7
5
0.2
1.2
0.5
4.9
1.1
1
1
8.4
2
5
4
10
1.4
10
1
10
