"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.43,0.03,"c",NA,NA,"0","sample","12.63","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.2k0.5",0.86,0.03,"c",NA,NA,"0","sample","24.95","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","8.75","0","0","0","0","0","0","0","0","0","0","0","4.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.4k0.5",1.72,0.03,"a","0","sample","49.38","0","0","0","0","0","0","0","0","0","0","1","0","0","4.03","0","0","0","0","0","0","0","0","2","0","0","0","0","17.34","0","0","0","0","0","0","0","0","0","0","0","7.98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu0.6k0.5",2.58,0.03,"a","0","sample","74.04","0","0","0","0","0","0","1","0","0","0","2","0","0","5.83","0","0","0","0","0","0","0","0","2.1","0","0","0","0","25.98","0","0","0","0","0","0","0","0","0","0","0","11.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu0.8k0.5",3.45,0.03,"b",NA,"0","sample","98.71","0","0","0","0","0","0","1","0","0","0","2","0","0","7.8","0","0","0","0","0","0","0","0","4","0","0","0","0","34.63","0","0","0","0","0","0","0","0","0","0","0","15.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu1k0.5",4.31,0.03,"c",NA,NA,"0","sample","123.13","0","0","1","0","0","0","1.08","0","0","0","2","0","0","9.72","0","0","0","0","0","0","0","0","4.85","0","0","0","0","43.22","0","0","0","0","0","0","0","0","0","0","0","19.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu1.5k0.5",6.46,0.03,"b",NA,"0","sample","184.79","0","0","1","0","0","0","2","0","0","0","3.5","0","0","14.59","0","0","0","0","0","0","0","0","7.27","0","0","0","0","64.82","0","0","0","0","0","0","0","0","0","0","0","29.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu2k0.5",8.62,0.03,"c",NA,NA,"0","sample","246.2","0","0","1","0","0","0","2","0","0","0","5.88","0","0","19.46","0","0","0","0","0","0","0","0","9.7","0","0","0","0","86.38","0","0","0","0","0","0","0","0","0","0","0","39.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu2.5k0.5",10.77,0.03,"b",NA,"0","sample","307.62","0","0","2","0","0","0","2.22","0","0","0","6.05","0","0","24.31","0","0","0","0","1","0","0","0","12.14","0","0","0","0","107.94","0","0","0","0","0","0","0","0","0","0","0","49.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu3k0.5",12.92,0.03,"c",NA,NA,"0","sample","369.03","0","0","2","0","0","0","3.4","0","0","0","7.27","0","0","29.16","0","0","0","0","1","0","0","0","14.55","0","0","0","0","129.5","0","0","0","0","0","0","0","0","0","0","0","59.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
