"trt.name","mu","k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62"
"mu2.5k1",33.52,0.53,"a",46.44,2,6,4,2,12,28,72.28,118.64,0,16,20,0,26,0,7,18,105.18,113.12,17,78.6,165.99,3,94.58,29,9,19,61.83,8,3,0,85.92,5,10,22,25,5,57.39,11,49.74,0,21,4,14,24,53.42,0,137.07,27,0,1,1,13,6,15,23,1,2,66.72,245.27,NA,NA
"mu3k1",40.22,0.53,"a",55.69,3,9,5,3,15,48.61,86.67,142.24,0,19,23,0,29,0,10,21,113.41,126.09,20,90.9,198.99,4,103.03,52.03,12,22,74.15,11,4,0,94.24,6,13,25,28,7,68.84,14,59.71,0,24,5,17,27,64.05,0,164.32,45.46,1,1,1,16,8,18,26,2,2,80.02,294,NA,NA
"mu0.1k2",1.34,1.06,"c",NA,NA,2,0,0,0,0,1,2,3,4,0,1,1,0,2,0,0,1,4,4,1,3,5,0,3,2,0,1,2,0,0,0,3,0,0,1,1,0,2,1,2,0,1,0,1,1,2,0,5,2,0,0,0,1,0,1,1,0,0,3,6
"mu0.2k2",2.68,1.06,"c",NA,NA,4,0,1,1,0,1,3,5,9,0,2,2,0,3,0,1,2,7,8,2,6,10,0,7,4,1,2,5,1,0,0,6,1,1,2,3,1,4,1,4,0,2,0,2,3,4,0,9.73,3,0,0,0,1,1,2,3,0,0,5,15.16
"mu0.4k2",5.36,1.06,"b",NA,7,1,2,1,1,3,7,10,16,0,4,4,0,6,0,2,4,14,15,4,11,22.33,1,13,7,2,4,9,2,1,0,12,2,3,5,6,2,9,3,8,0,5,1,3,5,8,0,17,6,0,0,0,3,2,3,5,1,1,10,28.46,NA
"mu0.6k2",8.04,1.06,"a",11,1,3,2,2,5,10,16,21.55,0,6,7,0,9,0,3,6,20,21,6,17,30.4,2,19,11,4,7,14,4,2,0,18,3,4,8,9,3,13,4,12,0,7,2,5,8,12,0,22,10,1,1,1,5,3,5,8,1,1,15,41.73,NA,NA
"mu0.8k2",10.73,1.06,"b",NA,14,2,4,3,2,6,13,20,26,0,8,9,0,12,0,5,8,24,25,8,21,46.5,3,23,14,5,9,18,5,3,0,22,4,6,10,12,4,17,6,15,0,10,3,7,11,16,1,40.11,13,1,1,1,7,4,7,11,2,2,19,54.97,NA
"mu1k2",13.41,1.06,"a",18,2,5,4,3,7,16,24,42.86,0,9,11,0,14,0,6,10,28,29,10,25,68.2,3,27,17,6,11,22,6,3,0,26,4,7,12,14,5,21,7,19,1,12,4,8,13,20,1,49.82,15,1,1,2,8,5,9,13,2,2,23,72.6,NA,NA
"mu1.5k2",20.11,1.06,"a",27,4,9,7,5,12,25,33,63.73,0,14,18,0,23,0,9,16,52.02,57.03,15,34,82.3,5,36,26,10,17,31,10,6,1,35,7,11,19,22,8,30,11,28,1,18.29,6,13,21,29,1,74.04,24,2,2,3,12,8,13,20,3,4,32,101.29,NA,NA
"mu2k2",26.82,1.06,"b",NA,33,5,10,8,6,15,31,39,84.61,0,19,23,0,29,1,10,21,69.11,75.72,20,40,134.37,6,63.84,32,12,22,37,11,7,1,59.43,8,13,25,28,9,36,14,34,2,24,7,17,27,35,2,98.28,30,3,3,4,16,9,18,26,4,5,38,148.59,NA
"mu2.5k2",33.52,1.06,"a",38,8,14,11,8.11,20,36,65.35,105.49,0,24,28,1,34,1,15,26,86.19,94.41,25,69.44,163.47,9,79.6,37,17,27,42,16,9.46,2,74.13,12,18,30,33,13,41,19,39,2,29,10,22,32,40,3,122.51,35,3,4,5,21,13.58,23,31,6,7,43,167.45,NA,NA
"mu3k2",40.22,1.06,"b",NA,42,9,18,14,10,24,40,78.29,126.36,0,28,32,1,38,1.48,19,30,103.25,113.12,29,83.23,170.54,11,95.38,41,21,31,70,20,12,2,88.83,15,22,34,37,16,66.42,23,43,3,33,13,26,36,44,4,146.73,39,5,5.34,6,25,17,27,35,7,8,73.93,200.53,NA
