"trt.name","intended.mu","intended.k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"mu2k1",26.82,0.53,"a",6.5,NA,NA,NA,196.55,21,4,10,62.95,2,16,18,49.49,0,2,0,4,12,0,2,29,7,133,0,17,11,75.76,84.25,0,66.24,68.82,24,0,26,53.44,27,19,13,0,14,1,8,45.95,25,28,109.82,95.04,6,9,6,3,1,5,1,3,1,7,22,42.75,20,5,15,57.89,23,13.5,NA,NA
"mu2.5k1",33.52,0.53,"c",NA,NA,6.5,NA,NA,NA,245.27,23,4,12,78.6,2,18,20,61.83,0,2,0,5,14,0,3,49.74,9,165.99,0,19,13,105.18,113.12,0,85.92,94.58,26,0,28,66.72,29,21,15,0,16,1,10,57.39,27,46.44,137.07,118.64,6,11,7,3,1,5,1,4,2,8,24,53.42,22,6,17,72.28,25,15.5
"mu3k1",40.22,0.53,"a",6.5,NA,NA,NA,294,26,5,15,90.9,3,21,23,74.15,0,3,0,6,17,0,4,59.71,12,198.99,0,22,16,113.41,126.09,0,94.24,103.03,29,0,48.61,80.02,52.03,24,18,1,19,1,13,68.84,45.46,55.69,164.32,142.24,9,14,10,4,1,7,2,5,2,11,27,64.05,25,8,20,86.67,28,18.5,NA,NA
"mu0.1k2",1.34,1.06,"c",NA,NA,6.5,NA,NA,NA,6,1,0,1,3,0,1,1,2,0,0,0,0,1,0,0,2,0,5,0,1,1,4,4,0,3,3,2,0,2,3,2,1,1,0,1,0,0,2,2,2,5,4,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,3,1,1
"mu0.2k2",2.68,1.06,"b",NA,6.5,NA,NA,NA,15.16,3,1,1,6,0,2,2,5,0,0,0,1,2,0,0,4,1,10,0,2,1,7,8,0,6,7,3,0,3,5,4,2,2,0,2,0,1,4,3,4,9.73,9,1,1,1,0,0,1,0,0,0,1,3,4,2,1,2,5,3,2,NA
"mu0.4k2",5.36,1.06,"b",NA,6.5,NA,NA,NA,28.46,5,1,3,11,1,4,4,9,0,1,0,2,3,0,1,8,2,22.33,0,4,3,14,15,0,12,13,6,0,7,10,7,5,3,0,4,0,3,9,6,7,17,16,2,3,2,1,0,2,1,1,1,2,5,8,5,2,4,10,6,3.5,NA
"mu0.6k2",8.04,1.06,"a",6.5,NA,NA,NA,41.73,8,2,5,17,1,6,7,14,0,2,0,3,5,0,2,12,4,30.4,0,7,5,20,21,0,18,19,9,0,10,15,11,7,5,1,6,1,4,13,10,11,22,21.55,3,4,3,2,1,3,1,2,1,4,8,12,8,3,6,16,9,5.5,NA,NA
"mu0.8k2",10.73,1.06,"b",NA,6.5,NA,NA,NA,54.97,11,3,6,21,2,8,9,18,0,2,0,4,7,0,3,15,5,46.5,0,9,7,24,25,0,22,23,12,1,13,19,14,10,7,1,8,1,6,17,13,14,40.11,26,4,6,5,3,1,4,2,3,2,5,11,16,10,4,8,20,12,7.5,NA
"mu1k2",13.41,1.06,"c",NA,NA,6.5,NA,NA,NA,72.6,13,4,7,25,2,10,11,22,0,3,0,4,8,0,3,19,6,68.2,0,11,8,28,29,1,26,27,14,1,16,23,17,12,9,1,9,1,7,21,15,18,49.82,42.86,5,7,6,3,2,5,2,4,2,6,13,20,12,5,10,24,14,9
"mu1.5k2",20.11,1.06,"a",6.5,NA,NA,NA,101.29,20,7,12,34,4,16,18,31,0,5,0,7,13,0,5,28,10,82.3,1,17,12,52.02,57.03,1,35,36,23,1,25,32,26,18.29,13,2,14,2,11,30,24,27,74.04,63.73,9,11,9,6,3,8,3,6,4,10,21,29,19,8,15,33,22,13.5,NA,NA
"mu2k2",26.82,1.06,"a",6.5,NA,NA,NA,148.59,26,8,15,40,5,21,23,37,0,6,0,8,17,1,6,34,12,134.37,1,22,16,69.11,75.72,2,59.43,63.84,29,2,31,38,32,24,18,3,19,3,13,36,30,33,98.28,84.61,10,14,10,7,4,9,4,7,5,11,27,35,25,9,20,39,28,18.5,NA,NA
"mu2.5k2",33.52,1.06,"c",NA,NA,6.5,NA,NA,NA,167.45,31,11,20,69.44,8,26,28,42,0,8.11,1,12,22,1,9,39,17,163.47,2,27,21,86.19,94.41,2,74.13,79.6,34,3,36,43,37,29,23,3,24,4,18,41,35,38,122.51,105.49,14,19,15,9.46,5,13,6,10,7,16,32,40,30,13.58,25,65.35,33,23.5
"mu3k2",40.22,1.06,"b",NA,6.5,NA,NA,NA,200.53,35,14,24,83.23,9,30,32,70,0,10,1,15,26,1.48,11,43,21,170.54,2,31,25,103.25,113.12,3,88.83,95.38,38,4,40,73.93,41,33,27,5,28,5.34,22,66.42,39,42,146.73,126.36,18,23,19,12,6,16,7,13,8,20,36,44,34,17,29,78.29,37,27.5,NA
