"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu2k1",17.85,0.49,"c",NA,NA,"3.5","sample","136.78","15","22","3","1","6","8","57.35","24","2","0","64.93","0","19","10","0","0","0","17","26","2","0","23","18","8","0","2","4","2","6","0","20","51.4","3","0","25","0","1","16","4","5","7","91.72","42.44","21","5","9","3","1","13","11","7","1","14","46.54","12","27","75.36","1","80.56","7.5","sample",NA,"insects"
"mu2.5k1",22.31,0.49,"b",NA,"3.5","sample","170.57","19","26","5","2","7","11","64.12","28","2","0","71.56","0","23","14","0","0","0","21","44.66","3","0","27","22","12","0","3","5","3","8","0","24","58.08","4","0","41.29","1","1","20","6","6","9","114.4","52.95","25","7","13","4","1","17","15","10","1","18","56.63","16","48.56","81.02","2","93.99","10.5","sample",NA,"insects",NA
"mu3k1",26.78,0.49,"a","3.5","sample","204.37","21","28","5","2","9","13","76.87","45.8","3","0","85.76","0","25","16","0","0","0","23","53.6","3","0","42.51","24","14","0","4","6","4","10","0","26","74.27","4.86","1","49.49","1","1","22","6","7","11","137.08","63.47","27","8","15","5","1","19","17","12","2","20","69.62","18","58.2","97.09","2","112.63","12.5","sample",NA,"insects",NA,NA
"mu0.1k2",0.89,0.99,"b",NA,"3.5","sample","5","1","1","0","0","0","0","3","2","0","0","3","0","1","1","0","0","0","1","2","0","0","1","1","0","0","0","0","0","0","0","1","2","0","0","2","0","0","1","0","0","0","4","2","1","0","1","0","0","1","1","0","0","1","2","1","2","3","0","4","0","sample",NA,"insects",NA
"mu0.2k2",1.79,0.99,"b",NA,"3.5","sample","8","2","3","0","0","1","1","4","3","0","0","5","0","2","1","0","0","0","2","3","0","0","3","2","1","0","0","1","0","1","0","2","4","0","0","3","0","0","2","1","1","1","7","4","2","1","1","0","0","2","1","1","0","2","4","1","3","5","0","6","1","sample",NA,"insects",NA
"mu0.4k2",3.57,0.99,"b",NA,"3.5","sample","22.36","4","5","1","1","2","2","9","6","1","0","10","0","4.85","3","0","0","0","4","6","1","0","5","4","3","0","1","1","1","2","0","5","8","1","0","6","0","0","4","2","2","2","13","7","5","2","3","1","0","3","3","2","0","4","8","3","7","11","1","12","2","sample",NA,"insects",NA
"mu0.6k2",5.36,0.99,"a","3.5","sample","50.32","5","7","2","1","3","3","13","8","1","0","14","0","6","4","0","0","0","6","9","1","0","8","6","4","0","1","2","2","3","0","7","12","2","0","9","0","1","5","2","2","3","17","10","7","3","4","2","1","5","4","3","1","5","11","4","10","15","1","16","3","sample",NA,"insects",NA,NA
"mu0.8k2",7.14,0.99,"a","3.5","sample","40.15","7","10","3","2","4","5","17","11","2","0","18","0","9","6","0","0","0","8","12","2","0","11","8","5","0","2","3","2","4","1","9","16","2","1","12","1","1","8","3","3","4","38.56","14","10","4","5","3","1","7","6","5","1","7","15","6","13","19","1.73","20","5","sample",NA,"insects",NA,NA
"mu1k2",8.93,0.99,"a","3.5","sample","47.71","9","13","4","2","5","6","21","14","2","0","22","0","11","7","0","0","0","10","16","3","0","13","11","7","1","3","4","3","5","1","12","20","3","1","15","1","1","10","4","5","6","34.56","18","12","5","7","4","2","8","8","6","2","9","19","8","17","23","2","32.26","6","sample",NA,"insects",NA,NA
"mu1.5k2",13.39,0.99,"a","3.5","sample","70.59","13","19","6","3","7","9","28","21","4","0","29","0","16","11","0","0","1","14","23","4","1","20","15","10","1","4","6","5","8","1","17","27","5","2","22","2","2","14","6","7","8","66.66","25","18","7","10","5","2","12","11","9","3","13","26","12","24","43.87","3","51.18","9","sample",NA,"insects",NA,NA
"mu2k2",17.85,0.99,"c",NA,NA,"3.5","sample","93.45","19","26","8","4","10","12","47.14","28","5","0","47.19","0","23","14","0","1","1","21","30","5","1","27","22","13","2","6","8","6","11","2","24","43.47","7","2","29","3","3","20","9","9","11","67.81","32","25","10","13","7","3","17","15","12","4","18","33","16","31","51.86","4","58.15","12","sample",NA,"insects"
"mu2.5k2",22.31,0.99,"c",NA,NA,"3.5","sample","116.32","23","30","9","6","12","15","58.79","32","6","0","64.62","0","27","18","0","1","1","25","34","7","2","31","26","16","2","7","10","8","12","3","28","54.17","8","3","33","3.04","4","24","10","11","13","104.06","36","29","11","17","9","4","21","19","14","5","22","37","20","35","72.41","5","84.44","14.5","sample",NA,"insects"
"mu3k2",26.78,0.99,"c",NA,NA,"3.5","sample","139.18","27","34","11","7","16","19","70.41","36","7","0","77.35","0","31","22","1","1","2","29","38","8","2","35","30","20","3","8","12","9","17","3","32","64.88","9","4","37","4","5","28","13","14","18","107.07","56.37","33","15","21","10","5","25","23","18.35","6","26","60.26","24","39","86.69","6","101.06","18.6752034197659","sample",NA,"insects"
